,delta_error,delta_BC,session_type,session_number,subject_id
0,0.0715140096361672,0.4000000000000001,IM,2,avatarRT_sub_05
1,0.2750968816552476,0.56,WMP,3,avatarRT_sub_05
2,0.19461719192336752,-0.24,OMP,4,avatarRT_sub_05
3,0.12402781905309944,0.3999999999999999,IM,2,avatarRT_sub_06
4,0.06870485830085986,0.19999999999999996,WMP,4,avatarRT_sub_06
5,0.023973090387894636,-0.1599999999999999,OMP,3,avatarRT_sub_06
6,0.29120854446454697,0.5600000000000003,IM,2,avatarRT_sub_07
7,0.18671182980705503,0.20000000000000007,WMP,3,avatarRT_sub_07
8,-0.041807407557301945,0.0,OMP,4,avatarRT_sub_07
9,0.07773178963965155,0.6000000000000001,IM,2,avatarRT_sub_08
10,0.14729956324553772,0.040000000000000036,WMP,4,avatarRT_sub_08
11,0.0332629348286782,0.16000000000000014,OMP,3,avatarRT_sub_08
12,0.16798098079600082,0.6400000000000001,IM,2,avatarRT_sub_10
13,0.17686357276056774,-0.15999999999999992,WMP,4,avatarRT_sub_10
14,-0.05478262387820004,-0.11999999999999988,OMP,3,avatarRT_sub_10
15,0.29446247790722935,0.4800000000000001,IM,2,avatarRT_sub_11
16,-0.014488929142876944,0.07999999999999996,WMP,3,avatarRT_sub_11
17,0.04290077801719136,0.11999999999999988,OMP,4,avatarRT_sub_11
18,-0.03152588735138835,0.6000000000000001,IM,2,avatarRT_sub_13
19,0.21740550919553042,0.19999999999999984,WMP,3,avatarRT_sub_13
20,-0.18848722140057164,-0.04000000000000015,OMP,4,avatarRT_sub_13
21,0.11280251345165934,0.48000000000000026,IM,2,avatarRT_sub_14
22,0.012889760544722934,0.20000000000000007,WMP,4,avatarRT_sub_14
23,-0.0829034456571322,0.040000000000000036,OMP,3,avatarRT_sub_14
24,0.07525450790516042,0.5200000000000002,IM,2,avatarRT_sub_15
25,0.0450545902496132,0.28,WMP,3,avatarRT_sub_15
26,0.20873354328268245,0.28,OMP,4,avatarRT_sub_15
27,-0.12774591746407885,0.36000000000000015,IM,2,avatarRT_sub_16
28,0.09932764747370304,-0.16000000000000003,WMP,4,avatarRT_sub_16
29,0.38424969993827507,-0.07999999999999996,OMP,3,avatarRT_sub_16
30,0.1195618039285747,0.6000000000000001,IM,2,avatarRT_sub_17
31,0.05642310271582837,0.15999999999999998,WMP,3,avatarRT_sub_17
32,0.05386444048300801,0.040000000000000036,OMP,4,avatarRT_sub_17
33,0.2196546903850963,0.4000000000000003,IM,2,avatarRT_sub_18
34,-0.009911078171273235,-0.07999999999999996,WMP,4,avatarRT_sub_18
35,0.11775358629641627,0.24,OMP,3,avatarRT_sub_18
36,0.00382893635494147,0.5200000000000002,IM,2,avatarRT_sub_19
37,-0.01728756828029801,0.0,WMP,3,avatarRT_sub_19
38,0.05926682464907876,-0.12,OMP,4,avatarRT_sub_19
39,0.09219893572711331,0.4400000000000002,IM,2,avatarRT_sub_21
40,-0.10530697245397935,0.3200000000000002,WMP,3,avatarRT_sub_21
41,-0.08571301029436745,-0.08000000000000007,OMP,4,avatarRT_sub_21
42,-0.36249568266866955,0.4400000000000002,IM,2,avatarRT_sub_22
43,0.06198445904203648,0.31999999999999984,WMP,4,avatarRT_sub_22
44,0.11996240346132528,0.040000000000000036,OMP,3,avatarRT_sub_22
45,0.22436872733499474,0.6000000000000001,IM,2,avatarRT_sub_23
46,0.2457400029992951,0.3599999999999999,WMP,3,avatarRT_sub_23
47,0.11141061385609807,-0.040000000000000036,OMP,4,avatarRT_sub_23
48,0.08947501855522533,0.4400000000000002,IM,2,avatarRT_sub_24
49,0.06724325835987446,0.039999999999999813,WMP,3,avatarRT_sub_24
50,-0.03245068909916635,0.0,OMP,4,avatarRT_sub_24
51,-1.135482072731064,0.4000000000000003,IM,2,avatarRT_sub_25
52,0.07311241703039353,0.44000000000000006,WMP,4,avatarRT_sub_25
53,-0.04069123161555763,-0.16000000000000003,OMP,3,avatarRT_sub_25
