,outcome,term,row_type,df_num,df_den,F,p_value,beta,se,t
0,delta_BC,C(session_type),F_test,1.0,32.0,9.182053567638706,0.004808609421141823,,,
1,delta_BC,C(wmp_first),F_test,1.0,32.0,1.0329810263593517,0.31708281084182505,,,
2,delta_BC,C(session_type):C(wmp_first),F_test,1.0,32.0,1.141644382189396,0.29329942845176094,,,
3,delta_BC,Intercept,coefficient,,,,0.9348337729315317,-0.004999999999999963,0.060672017850076455,-0.08241031330711975
4,delta_BC,C(session_type)[T.WMP],coefficient,,,,0.22998827288030455,0.10500000000000001,0.08580319050012063,1.2237307189626287
5,delta_BC,C(wmp_first)[T.1],coefficient,,,,0.9708295672231027,-0.002999999999999998,0.081400053746911,-0.03685501252035528
6,delta_BC,C(session_type)[T.WMP]:C(wmp_first)[T.1],coefficient,,,,0.2932994284517613,0.12299999999999996,0.11511705998678042,1.068477600228192
7,delta_EVR,C(session_type),F_test,1.0,32.0,3.4711940389357268,0.07164700503691059,,,
8,delta_EVR,C(wmp_first),F_test,1.0,32.0,0.779204780020902,0.3839678581849001,,,
9,delta_EVR,C(session_type):C(wmp_first),F_test,1.0,32.0,0.060853485216480145,0.8067277199943237,,,
10,delta_EVR,Intercept,coefficient,,,,0.9370112250593144,-0.0005256945996716122,0.0066000118642517355,-0.07965055373899875
11,delta_EVR,C(session_type)[T.WMP],coefficient,,,,0.29788375370358666,0.009877128810067857,0.009333826290248136,1.0582079099101465
12,delta_EVR,C(wmp_first)[T.1],coefficient,,,,0.4304018359737172,-0.007071603328687393,0.0088548451084632,-0.7986140064639372
13,delta_EVR,C(session_type)[T.WMP]:C(wmp_first)[T.1],coefficient,,,,0.8067277199943191,0.0030891478511522767,0.01252264204510172,0.24668499187522563
