,subject_id,self_dist_intrinsic2IMses_within,self_dist_intrinsic2others_within,zscore_dist_intrinsic2intrinsic_btwn,zscore_dist_intrinsic2others_btwn
0,avatarRT_sub_05,5.644080713547057e-05,5.644080713547057e-05,-0.7323592603914301,-1.9593364360523464
1,avatarRT_sub_06,5.7060523836561726e-05,5.7060523836561726e-05,-0.49917802469619754,-1.6666506617827381
2,avatarRT_sub_07,0.0001078952729038,8.992812601661904e-05,-0.21065595854108388,-1.2037799059339813
3,avatarRT_sub_08,0.0001889179829134,0.000133120721546,0.10084653577660399,-1.057892076753276
4,avatarRT_sub_10,5.175272849323914e-05,4.6628312097573386e-05,-0.6442254736514982,-1.6451950543169547
5,avatarRT_sub_11,0.0004772037954523,0.0002410566225901,-1.0200222006103117,-0.7013796358648833
6,avatarRT_sub_13,8.797786146278442e-05,8.719217808351376e-05,-0.2874896212504048,-1.4331579877914997
7,avatarRT_sub_14,0.0003565720934085,0.0002325968222796,-0.5546094597156552,-1.2282785081227334
8,avatarRT_sub_15,0.000156196290877,0.000156196290877,-0.1793731382279489,0.5506714091287243
9,avatarRT_sub_16,0.0002425989125868,0.0002425989125868,0.11238912203864942,-0.033302673149677636
10,avatarRT_sub_17,0.0001013550331783,8.451023589480262e-05,-0.3175473596828947,-1.1756557234513143
11,avatarRT_sub_18,9.839203136549123e-05,9.839203136549123e-05,0.005035721865797866,0.48740352707230195
12,avatarRT_sub_19,0.0001094136931061,0.0001094136931061,-0.47741865146074297,-1.3946151657934647
13,avatarRT_sub_21,0.0001392075140028,4.46597399906769e-05,-0.6228521176440617,-1.2758881190525606
14,avatarRT_sub_22,6.457173549646712e-05,6.457173549646712e-05,-0.5180358265793279,-1.290709294548913
15,avatarRT_sub_23,4.411972034696687e-05,4.411972034696687e-05,-0.7978995230064778,-1.0434626074736206
16,avatarRT_sub_24,8.928830074595795e-05,5.16069310025991e-05,-0.5651775964628584,-1.58032777933486
17,avatarRT_sub_25,8.542246537375656e-05,7.378835032962069e-05,-0.27096832116286823,-1.2724516223247544
