,subject_id,session_type,zscored_difference,true_difference,null_difference
0,avatarRT_sub_05,IM,1.203139573608535,0.03557982897024245,0.00012925787810284906
1,avatarRT_sub_06,IM,-0.3200825806493937,-0.005051560305177678,-0.002045395545945492
2,avatarRT_sub_07,IM,0.9255509545705242,0.015314333699265471,0.005346336080443786
3,avatarRT_sub_08,IM,-0.006473532203096007,-0.00019680174194001282,0.002379633240240074
4,avatarRT_sub_10,IM,0.8267997249674955,0.022379644415393286,-0.005537678942005772
5,avatarRT_sub_11,IM,0.7115913473178239,0.011111063132915301,0.003265477123214178
6,avatarRT_sub_13,IM,0.08640356067906312,0.00228903238080589,0.010569393653934367
7,avatarRT_sub_14,IM,-0.056886096074634955,-0.0007371431509367032,0.0009878071873419688
8,avatarRT_sub_15,IM,-0.16132590173757816,-0.0019299618475959318,-0.008482780328164978
9,avatarRT_sub_16,IM,0.31135405044712744,0.005462781052970361,0.0006087996240711547
10,avatarRT_sub_17,IM,0.925105424611772,0.01293620161288555,0.009113142348994794
11,avatarRT_sub_18,IM,0.6506197678028325,0.0069726706737040026,0.011968586783229889
12,avatarRT_sub_19,IM,1.1539155408057837,0.025227514180032273,-0.011231242148181919
13,avatarRT_sub_21,IM,0.8819423744862989,0.018317839756811227,-0.01431876081555202
14,avatarRT_sub_22,IM,1.184629791735146,0.01992228422396941,-0.018314696651646378
15,avatarRT_sub_23,IM,-1.0414413764330879,-0.02734947288213168,-0.0036820460707443644
16,avatarRT_sub_24,IM,1.9068562083899998,0.03417583150135475,0.006163744759362847
17,avatarRT_sub_25,IM,1.1570092906629506,0.017021818177468135,0.0020744810417840137
18,avatarRT_sub_05,WMP,1.9177263932438602,0.05039780269112976,-0.008279679742258598
19,avatarRT_sub_06,WMP,-0.8227090760683581,-0.00903416207676671,-0.010672037348710878
20,avatarRT_sub_07,WMP,-0.2673361299395093,-0.0071592769374600185,-0.014722616056297861
21,avatarRT_sub_08,WMP,2.504334565765643,0.04084898741327287,0.01241268591730753
22,avatarRT_sub_10,WMP,0.008324571147034266,-4.9557637994683545e-05,0.012109712620037287
23,avatarRT_sub_11,WMP,-0.12469323579601693,-0.0011423430549361568,-0.024505800053273342
24,avatarRT_sub_13,WMP,-0.2929862211107574,-0.0077589029243153446,-0.01757824452134089
25,avatarRT_sub_14,WMP,0.8539038839324158,0.01478042817758532,-0.0035578665851542907
26,avatarRT_sub_15,WMP,0.8364981529485895,0.01553803745335764,-0.014365804291936263
27,avatarRT_sub_16,WMP,-0.18442719695948373,-0.0017241400146906921,0.021590435869695696
28,avatarRT_sub_17,WMP,0.18080300423236523,0.005184045215992996,-0.009230833211381838
29,avatarRT_sub_18,WMP,0.6705976861695426,0.005803840916392546,0.006456543608202743
30,avatarRT_sub_19,WMP,-0.7453094000221022,-0.017402662925552998,0.0006400413948923344
31,avatarRT_sub_21,WMP,0.20180912927506758,0.005308426435666102,0.003887112993626635
32,avatarRT_sub_22,WMP,1.295607028290857,0.01371864955162845,-0.007999696327246921
33,avatarRT_sub_23,WMP,0.8133429967679168,0.013491533168517839,-0.017361014313249577
34,avatarRT_sub_24,WMP,-0.1512298611078264,-0.0027668717937882614,0.011516922323199985
35,avatarRT_sub_25,WMP,0.6641777409012127,0.01046742735374332,0.0005084360441668103
36,avatarRT_sub_05,OMP,0.3931924134029429,0.004347856015526518,0.021432727075517626
37,avatarRT_sub_06,OMP,0.4032578659625935,0.00741044270828993,0.0042592659966090496
38,avatarRT_sub_07,OMP,-0.0914714353229288,-0.0016588064333886154,-0.006574544449258436
39,avatarRT_sub_08,OMP,0.6281366634155825,0.012928095058185207,0.012075636705652686
40,avatarRT_sub_10,OMP,-0.4863414485812355,-0.0036443702183079213,-0.013083832382580464
41,avatarRT_sub_11,OMP,0.29900075246783614,0.006640583858163136,-0.005192151986942438
42,avatarRT_sub_13,OMP,-1.9653524365647954,-0.042168950317439224,0.0005458773972618612
43,avatarRT_sub_14,OMP,-1.548846870881345,-0.03336955078264437,0.0017702471750363246
44,avatarRT_sub_15,OMP,-1.200136183700412,-0.03122508093288396,0.011551917635632023
45,avatarRT_sub_16,OMP,-0.039853762931579495,-0.0008593822537417556,0.003950994821111836
46,avatarRT_sub_17,OMP,-1.3927009945527764,-0.04069301037773096,-0.007780703877347674
47,avatarRT_sub_18,OMP,0.37477928988434434,0.008763774407103062,0.005542575879067493
48,avatarRT_sub_19,OMP,0.9446482323106753,0.01791823661215393,-0.01507031234149298
49,avatarRT_sub_21,OMP,0.812731910062169,0.012135161179399244,0.008653605830348972
50,avatarRT_sub_22,OMP,1.2309725777415796,0.01946355734856796,0.007119929661175611
51,avatarRT_sub_23,OMP,0.021321207275644467,0.0005013711826354697,-0.017516632585936835
52,avatarRT_sub_24,OMP,-0.18796246375745645,-0.0017703400700249533,-0.010514695484745252
53,avatarRT_sub_25,OMP,-1.1645395079773881,-0.014898123064823618,0.006800555926615169
